destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
Somnath Temple,Gujarat,West,22.2587,71.1924,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Adalaj Stepwell, Laxmi Vilas Palace, Kankaria Lake","Somnath Temple is a renowned temple located in gujarat (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.036 out of 5."
Rann Utsav,Gujarat,West,22.2587,71.1924,interesting scenic engaging,interesting scenic engaging,Cultural in Warm climate,Year-round,"Sightseeing, Walking, Photography","Rann of Kutch Salt Flats, Gir National Park, Statue of Unity","Rann Utsav is a renowned cultural located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a high budget and holds a popularity score of 2.98 out of 5."
Statue of Unity,Gujarat,West,22.2587,71.1924,interesting scenic engaging,interesting scenic engaging,Monument in Warm climate,Year-round,"Sightseeing, Walking, Photography","Kankaria Lake, Sun Temple Modhera, Gir National Park","Statue of Unity is a renowned monument located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 3.028 out of 5."
Dandi Kutir,Gujarat,West,23.21667,72.68333,educational historic quiet,educational historic quiet,Museum in Warm climate,Year-round,"Sightseeing, Walking, Photography","Gir National Park, Dwarkadhish Temple, Sun Temple Modhera","Dandi Kutir is a renowned museum located in gujarat (West). Experiencing a warm climate, it offers a educational historic quiet atmosphere. It is well-suited for a low budget and holds a popularity score of 2.72 out of 5."
Sabarmati Riverfront,Gujarat,West,23.02579,72.58727,interesting scenic engaging,interesting scenic engaging,Urban Development Project in Warm climate,Year-round,"Sightseeing, Walking, Photography","Gir National Park, Rann of Kutch Salt Flats, Sabarmati Ashram","Sabarmati Riverfront is a renowned urban development project located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8 out of 5."
Manek Chowk,Gujarat,West,23.02579,72.58727,bustling vibrant chaotic colorful,bustling vibrant chaotic colorful,Market in Warm climate,Year-round,"Shopping, Street food tasting, Walking","Kankaria Lake, Sabarmati Ashram, Gir National Park","Manek Chowk is a renowned market located in gujarat (West). Experiencing a warm climate, it offers a bustling vibrant chaotic colorful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8360000000000003 out of 5."
Kankaria Lake,Gujarat,West,23.02579,72.58727,interesting scenic engaging,interesting scenic engaging,Lake in Warm climate,Year-round,"Sightseeing, Walking, Photography","Gir National Park, Adalaj Stepwell, Laxmi Vilas Palace","Kankaria Lake is a renowned lake located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.82 out of 5."
Science City,Gujarat,West,23.02579,72.58727,interesting scenic engaging,interesting scenic engaging,Science in Warm climate,Year-round,"Sightseeing, Walking, Photography","Statue of Unity, Sun Temple Modhera, Rann of Kutch Salt Flats","Science City is a renowned science located in gujarat (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.684 out of 5."
Hawa Mahal,Rajasthan,West,27.0,76.0,interesting scenic engaging,interesting scenic engaging,Palace in Warm climate,Year-round,"Sightseeing, Walking, Photography","City Palace, Jag Mandir, Ranthambore Safari Gates","Hawa Mahal is a renowned palace located in rajasthan (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.16 out of 5."
City Palace,Rajasthan,West,24.33,73.77,interesting scenic engaging,interesting scenic engaging,Palace in Warm climate,Year-round,"Sightseeing, Walking, Photography","Albert Hall Museum, Jal Mahal, Nahargarh Fort","City Palace is a renowned palace located in rajasthan (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.8440000000000003 out of 5."
Jaisalmer Fort,Rajasthan,West,26.99382,71.00889,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Amer Fort, Hawa Mahal, Umaid Bhawan Palace","Jaisalmer Fort is a renowned fort located in rajasthan (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8640000000000003 out of 5."
Ranthambore National Park,Rajasthan,West,26.02301,76.34408,interesting scenic engaging,interesting scenic engaging,Wildlife Sanctuary in Warm climate,Year-round,"Sightseeing, Walking, Photography","Jal Mahal, Hawa Mahal, Amer Fort","Ranthambore National Park is a renowned wildlife sanctuary located in rajasthan (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.796 out of 5."
Pushkar Lake,Rajasthan,West,26.49022,74.55211,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","City Palace, Jantar Mantar, Lake Pichola","Pushkar Lake is a renowned temple located in rajasthan (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.28 out of 5."
Ajmer Sharif Dargah,Rajasthan,West,26.25,74.66667,interesting scenic engaging,interesting scenic engaging,Shrine in Warm climate,Year-round,"Sightseeing, Walking, Photography","Jag Mandir, Ranthambore Safari Gates, City Palace","Ajmer Sharif Dargah is a renowned shrine located in rajasthan (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
Mehrangarh Fort,Rajasthan,West,26.2389,73.0243,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Lake Pichola, Hawa Mahal, Jantar Mantar","Mehrangarh Fort is a renowned fort located in rajasthan (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a medium budget and holds a popularity score of 3.016 out of 5."
Chittorgarh Fort,Rajasthan,West,27.0238,74.2179,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Nahargarh Fort, Jag Mandir, Ranthambore Safari Gates","Chittorgarh Fort is a renowned fort located in rajasthan (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 3.52 out of 5."
Dilwara Temples,Rajasthan,West,27.0238,74.2179,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Warm climate,Year-round,"Praying, Meditation, Sightseeing","Lake Pichola, Pushkar Lake, Jal Mahal","Dilwara Temples is a renowned temple located in rajasthan (West). Experiencing a warm climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.78 out of 5."
Junagarh Fort,Rajasthan,West,28.01762,73.31495,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Umaid Bhawan Palace, Pushkar Lake, Jag Mandir","Junagarh Fort is a renowned fort located in rajasthan (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.828 out of 5."
Amber Fort,Rajasthan,West,27.0,76.0,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","Jantar Mantar, City Palace, Nahargarh Fort","Amber Fort is a renowned fort located in rajasthan (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a medium budget and holds a popularity score of 3.36 out of 5."
Jaigarh Fort,Rajasthan,West,27.0,76.0,historic majestic grand,historic majestic grand,Fort in Warm climate,Year-round,"Heritage walk, Photography, Exploring","City Palace, Hawa Mahal, Mehrangarh Fort","Jaigarh Fort is a renowned fort located in rajasthan (West). Experiencing a warm climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.82 out of 5."
Lake Pichola,Rajasthan,West,24.33,73.77,interesting scenic engaging,interesting scenic engaging,Lake in Warm climate,Year-round,"Sightseeing, Walking, Photography","Ranthambore Safari Gates, Mehrangarh Fort, Hawa Mahal","Lake Pichola is a renowned lake located in rajasthan (West). Experiencing a warm climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.96 out of 5."
Golden Temple (Harmandir Sahib),Punjab,North,31.67,74.84,interesting scenic engaging,interesting scenic engaging,Religious Site in Cold climate,October-March,"Sightseeing, Walking, Photography","Local Heritage Museum, Botanical Gardens, City Central Park","Golden Temple (Harmandir Sahib) is a renowned religious site located in punjab (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.7 out of 5."
Jallianwala Bagh,Punjab,North,31.67,74.84,interesting scenic engaging,interesting scenic engaging,Memorial in Cold climate,October-March,"Sightseeing, Walking, Photography","Local Heritage Museum, Spiritual Centers, Traditional Bazaars","Jallianwala Bagh is a renowned memorial located in punjab (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.0 out of 5."
Wagah Border,Punjab,North,31.67,74.84,interesting scenic engaging,interesting scenic engaging,Border Crossing in Cold climate,October-March,"Sightseeing, Walking, Photography","City Central Park, Traditional Bazaars, Spiritual Centers","Wagah Border is a renowned border crossing located in punjab (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.948 out of 5."
Rock Garden,Punjab,North,31.1471,75.3412,interesting scenic engaging,interesting scenic engaging,Sculpture Garden in Cold climate,October-March,"Sightseeing, Walking, Photography","Historical Monuments, Old City Quarters, Traditional Bazaars","Rock Garden is a renowned sculpture garden located in punjab (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.9 out of 5."
